chateau-tartifume-caf-2016	8	Contenance (cl)	75 cl		
chateau-tartifume-caf-2016	9	Appellation	Côtes de Bourg		
chateau-tartifume-caf-2016	10	Producteur	La cave d'Augustin Florent		
chateau-la-chapelle-maillard	1	Cépages	Cabernet Franc (20%), Cabernet Sauvignon (20%), Merlot (60%)		
chateau-la-chapelle-maillard	2	Propriétaire/Domaine	Château La Chapelle Maillard		
chateau-la-chapelle-maillard	3	Millésime	2014		
chateau-la-chapelle-maillard	4	Région	Bordeaux		
chateau-la-chapelle-maillard	5	Pays	France		
chateau-la-chapelle-maillard	6	Type	Vin		
chateau-la-chapelle-maillard	7	Couleur	Rouge		
chateau-la-chapelle-maillard	8	Contenance (cl)	75 cl		
chateau-la-chapelle-maillard	9	Degré d'alcool	12,5°		
chateau-la-chapelle-maillard	10	Appellation	Bordeaux		
chateau-la-chapelle-maillard	11	Producteur	Jean Carnelos		
chateau-lion-noir-2012	1	Cépages	Cabernet Franc (10%), Merlot (70%), Malbec (20%)		
chateau-lion-noir-2012	2	Propriétaire/Domaine	Château Lion Noir		
chateau-lion-noir-2012	3	Millésime	2012		
chateau-lion-noir-2012	4	Région	Bordeaux		
chateau-lion-noir-2012	5	Pays	France		
chateau-lion-noir-2012	6	Type	Vin		
chateau-lion-noir-2012	7	Couleur	Rouge		
chateau-lion-noir-2012	8	Contenance (cl)	75 cl		
chateau-lion-noir-2012	9	Degré d'alcool	13%		
chateau-lion-noir-2012	10	Appellation	Côtes de Bourg		
chateau-lion-noir-2012	11	Producteur	Pierre Henri Cosyns		
frescobaldi-pomino-bianco-16	1	Cépages	Chardonnay, Pinot Grigio		
frescobaldi-pomino-bianco-16	2	Propriétaire/Domaine	Frescobaldi		
frescobaldi-pomino-bianco-16	3	Millésime	2016		
frescobaldi-pomino-bianco-16	4	Région	Vins du Monde		
frescobaldi-pomino-bianco-16	5	Pays	Italie		
frescobaldi-pomino-bianco-16	6	Type	Vin		
frescobaldi-pomino-bianco-16	7	Couleur	Blanc		
frescobaldi-pomino-bianco-16	8	Contenance (cl)	75 cl		
frescobaldi-pomino-bianco-16	9	Degré d'alcool	12,5%		
frescobaldi-pomino-bianco-16	10	Appellation	Italie - Toscana		
frescobaldi-pomino-bianco-16	11	Producteur	Château de Pomino		
poggio-teo-valiano-2010	1	Cépages	Sangiovese (100%)		
poggio-teo-valiano-2010	2	Propriétaire/Domaine	Valiano		
poggio-teo-valiano-2010	3	Millésime	2010		
poggio-teo-valiano-2010	4	Région	Vins du Monde		
poggio-teo-valiano-2010	5	Pays	Italie		
poggio-teo-valiano-2010	6	Type	Vin		
poggio-teo-valiano-2010	7	Couleur	Rouge		
poggio-teo-valiano-2010	8	Contenance (cl)	75 cl		
poggio-teo-valiano-2010	9	Degré d'alcool	13.5%		
poggio-teo-valiano-2010	10	Appellation	Italie - Chianti Classico		
poggio-teo-valiano-2010	11	Producteur	Famille Piccini		
masi-serego-alighieri-possessioni-15	1	Cépages	Sauvignon blanc, Garganega		
masi-serego-alighieri-possessioni-15	2	Propriétaire/Domaine	Masi Serego Alighieri Possessini		
masi-serego-alighieri-possessioni-15	3	Millésime	2015		
masi-serego-alighieri-possessioni-15	4	Région	Vins du Monde		
masi-serego-alighieri-possessioni-15	5	Pays	Italie		
masi-serego-alighieri-possessioni-15	6	Type	Vin		
masi-serego-alighieri-possessioni-15	7	Couleur	Blanc		
masi-serego-alighieri-possessioni-15	8	Contenance (cl)	75 cl		
masi-serego-alighieri-possessioni-15	9	Degré d'alcool	12.5%		
masi-serego-alighieri-possessioni-15	10	Appellation	Italie - Veneto		
masi-serego-alighieri-possessioni-15	11	Producteur	Masi Agricola		
mionetto	1	Cépages	Glera		
mionetto	2	Propriétaire/Domaine	Mionetto		
mionetto	3	Région	Vins du Monde		
mionetto	4	Pays	Italie		
mionetto	5	Type	Effervescent		
mionetto	6	Couleur	Blanc		
mionetto	7	Contenance (cl)	75 cl		
mionetto	8	Degré d'alcool	11%		
mionetto	9	Appellation	Italie - Prosecco Superiro Valdobbiadene		
mionetto	10	Producteur	Mionetto		
champagne-rose-pommery	1	Cépages	Chardonnay, Pinot noir, Pinot Meunier		
champagne-rose-pommery	2	Propriétaire/Domaine	Pommery		
champagne-rose-pommery	3	Région	Champagne		
champagne-rose-pommery	4	Pays	France		
champagne-rose-pommery	5	Type	Champagne		
champagne-rose-pommery	6	Couleur	Rosé		
champagne-rose-pommery	7	Contenance (cl)	75 cl		
champagne-rose-pommery	8	Degré d'alcool	12.5%		
champagne-rose-pommery	9	Appellation	Champagne Rosé		
