pierre-chanau-pierre-chanau-cremant-de-loire-brut	auc	PIERRE CHANAU Pierre Chanau Crémant de Loire Brut	Bouteille / 75cl	5.3		https://www.auchan.fr/pierre-chanau-pierre-chanau-cremant-de-loire-brut/p-c393928		Val de Loire	Crémant de Loire		Blanc	75 CL	https://media1.auchan.fr/_ui/v1466_124a5a3a91a9/mobile/images/missing-product-468x468.jpg	
wolberger-chardonnay	auc	Wolberger Chardonnay	Bouteille / 75cl	15.0		https://www.auchan.fr/wolberger-chardonnay/p-c392584		Alsace	Crémant d'Alsace		Blanc	75 CL	https://media1.auchan.fr/images/hb5/hbd/12859612037150.jpg	
jean-louis-ballarin-cremant-de-bordeaux-perle-noire-brut	auc	Jean-Louis Ballarin Crémant de Bordeaux Perle Noire Brut	Bouteille / 75cl	15.0		https://www.auchan.fr/jean-louis-ballarin-cremant-de-bordeaux-perle-noire-brut/p-c394641		Bordeaux	Crémant de Bordeaux		Blanc	75 CL	https://media1.auchan.fr/_ui/v1466_124a5a3a91a9/mobile/images/missing-product-468x468.jpg	
lucien-albrecht-cremant-d-alsace-brut-rose	auc	Lucien Albrecht Crémant d'Alsace Brut Rosé	Bouteille / 75cl	15.0		https://www.auchan.fr/lucien-albrecht-cremant-d-alsace-brut-rose/p-c392708		Alsace	Crémant d'Alsace		Rosé	75 CL	https://media1.auchan.fr/images/h9e/hc7/11393659535390.jpg	
lacheteau-cremant-de-loire-rose	auc	PACK PROMO Lacheteau Crémant de Loire Rosé	piece / 4.5l	50.73	53.40	https://www.auchan.fr/lacheteau-cremant-de-loire-rose/p-cl931738		Val de Loire	Crémant de Loire		Rosé	75 CL	https://media1.auchan.fr/images/h4f/h35/11894231269406.jpg	
lacheteau-cremant-de-loire-rose	auc	Lacheteau Crémant de Loire Rosé	Bouteille / 75cl	8.9		https://www.auchan.fr/lacheteau-cremant-de-loire-rose/p-c764038		Val de Loire	Crémant de Loire		Rosé	75 CL	https://media1.auchan.fr/images/h86/h53/12859660697630.jpg	
bujonis-cava-brut	auc	Bujonis Cava Brut	Bouteille / 75cl	8.0		https://www.auchan.fr/bujonis-cava-brut/p-c957414		Espagne	Vins et Alcools Divers	2015	Blanc	75 CL	https://media1.auchan.fr/images/h33/h30/12880126640158.jpg	
mia-freixenet-brut	auc	Mia Freixenet Brut	Bouteille / 75cl	7.9		https://www.auchan.fr/mia-freixenet-brut/p-c897590		Espagne			#	75 CL	https://media1.auchan.fr/images/h05/h4c/11380842725406.jpg	
cuvee-expression-antech-brut-cremant-de-limoux	auc	Cuvée Expression Antech Brut Cremant De Limoux	Bouteille / 75cl	13.57		https://www.auchan.fr/cuvee-expression-antech-brut-cremant-de-limoux/p-c998704		Afrique du Sud	Crémant de Limoux	2014	Blanc	75 CL	https://media1.auchan.fr/images/h08/h38/12895559417886.jpg	
ackerman-saumur-brut-1811	auc	Ackerman Saumur Brut 1811	Bouteille / 75cl	11.9		https://www.auchan.fr/ackerman-saumur-brut-1811/p-c393808		Val de Loire	Saumur		#	75 CL	https://media1.auchan.fr/images/h7d/h18/11760318251038.jpg	
